problem,z3,msat,minisat-ml,minisat,batsat,z3.time,msat.time,minisat-ml.time,minisat.time,batsat.time
benchs/basic/uuf50-0872.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0871.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0870.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-087.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0869.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0868.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0867.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0866.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0865.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0864.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0863.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0862.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0861.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0860.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-086.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0859.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0858.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0857.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0856.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0855.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0854.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0853.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0852.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0851.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0850.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-085.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0849.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0848.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0847.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0846.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0845.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0844.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.02,0.02,0.01,0.01
benchs/basic/uuf50-0843.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0842.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0841.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0840.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-084.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0839.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0838.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0837.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0836.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0835.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0834.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0833.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0832.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0831.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0830.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-083.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0829.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0828.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0827.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0826.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0825.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0824.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0823.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0822.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0821.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0820.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-082.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0819.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0818.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0817.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0816.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0815.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0814.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0813.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0812.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0811.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-0810.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
benchs/basic/uuf50-081.cnf.gz,unsat,unsat,unsat,unsat,unsat,0.02,0.01,0.02,0.01,0.01
